origin,destination,4_7,7_10,10_13,13_16,16_19,19_22,origin_id,destination_id
2001_transmilenio-troncal,2204_transmilenio-troncal,9.383333333333333,9.383333333333333,9.383333333333333,9.383333333333333,9.283333333333333,9.333333333333334,2001,2204
2001_transmilenio-troncal,2000_transmilenio-troncal,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2.033333333333333,2001,2000
2001_transmilenio-troncal,2201_transmilenio-troncal,5.883333333333333,5.933333333333334,5.933333333333334,5.933333333333334,5.883333333333333,5.933333333333334,2001,2201
2001_transmilenio-troncal,2101_transmilenio-troncal,3.3666666666666667,3.5166666666666666,3.5166666666666666,3.5166666666666666,3.3666666666666667,3.5166666666666666,2001,2101
2001_transmilenio-troncal,2302_transmilenio-troncal,11.883333333333333,10.7,10.7,10.7,10.649999999999999,10.7,2001,2302
2001_transmilenio-troncal,2502_transmilenio-troncal,2.5,2.5,2.5,2.5,2.5,2.5,2001,2502
2001_transmilenio-troncal,9116_transmilenio-troncal,21.6,19.7,19.7,19.7,19.65,19.7,2001,9116
2001_transmilenio-troncal,9110_transmilenio-troncal,24.35,23.2,23.216666666666665,23.216666666666665,23.2,23.25,2001,9110
2001_transmilenio-troncal,9111_transmilenio-troncal,24.583333333333332,23.316666666666666,23.433333333333334,23.433333333333334,23.15,23.466666666666665,2001,9111
2001_transmilenio-troncal,9113_transmilenio-troncal,22.1,20.916666666666664,20.916666666666664,20.916666666666664,20.866666666666667,20.916666666666664,2001,9113
2001_transmilenio-troncal,9114_transmilenio-troncal,22.28333333333333,20.916666666666668,21.033333333333335,21.033333333333335,20.849999999999998,21.066666666666666,2001,9114
2001_transmilenio-troncal,9117_transmilenio-troncal,19.133333333333333,17.6,17.6,17.6,17.583333333333332,17.633333333333333,2001,9117
2001_transmilenio-troncal,9119_transmilenio-troncal,18.133333333333333,16.95,16.95,16.95,16.9,16.95,2001,9119
2001_transmilenio-troncal,9120_transmilenio-troncal,14.633333333333333,13.45,13.45,13.45,13.399999999999999,13.45,2001,9120
2001_transmilenio-troncal,9122_transmilenio-troncal,16.71666666666667,15.899999999999999,15.899999999999999,15.899999999999999,15.749999999999998,15.899999999999999,2001,9122
2001_transmilenio-troncal,9123_transmilenio-troncal,15.216666666666667,14.833333333333332,14.85,14.85,14.833333333333332,14.883333333333333,2001,9123
2001_transmilenio-troncal,9121_transmilenio-troncal,16.133333333333333,14.95,14.95,14.95,14.899999999999999,14.95,2001,9121
2001_transmilenio-troncal,9118_transmilenio-troncal,17.133333333333333,15.6,15.6,15.6,15.583333333333332,15.633333333333333,2001,9118
2001_transmilenio-troncal,9115_transmilenio-troncal,20.53333333333333,19.166666666666668,21.45,21.45,21.4,21.45,2001,9115
2001_transmilenio-troncal,9109_transmilenio-troncal,24.53333333333333,23.166666666666668,24.53333333333333,24.53333333333333,24.483333333333334,24.53333333333333,2001,9109
2001_transmilenio-troncal,3003_transmilenio-troncal,25.883333333333336,24.116666666666667,29.4,29.4,27.63333333333333,29.299999999999997,2001,3003
2001_transmilenio-troncal,3004_transmilenio-troncal,27.033333333333335,25.566666666666666,27.7,27.7,25.93333333333333,27.599999999999998,2001,3004
